0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
[illustration] [blazon or coat of arms],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timpany,,2.0,,,1,,3.0,2.0,,,,1.0,,,,,,,,,,,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0
Ulcer,,1.0,2.0,2.0,,1.0,,3.0,1.0,,1.0,2.0,,,,,1,2.0,2.0,3.0,,2.0,,,,,,,1.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,,,1.0,1.0,,,,,1.0,,2.0,1.0,2.0,
Ague,,,1.0,2.0,,,,,,,2.0,1.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,2.0,1.0,3.0,,,,,,,1.0,1.0,,,1.0
Bloody flux,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,
Cough,,,4.0,1.0,4,2.0,5.0,1.0,5.0,1.0,6.0,4.0,2.0,1.0,2,1.0,,3.0,1.0,,2.0,,2.0,1.0,,1.0,,,,,1.0,,2.0,,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,
Drowned at St. Mary VVhiteâˆ£chappel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grief,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,2.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,,2.0,,1.0,1.0,3.0,2.0,,,1.0
Killed with a Cart at St. Giles Cripplegate,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinsie,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,2.0,1.0,2.0,1.0,3.0,6.0,5.0,2.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,
Sciatica,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
Strangury,,,1.0,,1,,,,,,,1.0,,,,,1,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,1.0,,,1.0
Bruised,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0
Cancer,,,,1.0,,1.0,,1.0,,,,1.0,,,,,1,2.0,,1.0,,,,,,,1.0,2.0,1.0,,1.0,,,2.0,,2.0,,1.0,,,1.0,,,1.0,,,,,1.0,3.0,,1.0
Distracted,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,
Goâ€¢t,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild with a Cart at St. Bridgets,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meagrome,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,1.0,
Plurisie,,,,1.0,,,,,,,,,,,1,,2,1.0,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,
Sore legge,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,
Bedridden,,,,,3,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,
Bleeding,,,,,1,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,
Chilbed,,,,,9,3.0,,,,,5.0,6.0,,,5,5.0,,,7.0,2.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrisoms,,,,,â€¢7,19.0,12.0,15.0,9.0,12.0,18.0,15.0,18.0,13.0,13,12.0,18,8.0,7.0,12.0,12.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold,,,,,2,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,
Collick,,,,,1,,,,2.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,3.0,3.0,,1.0,,1.0,,1.0,,,,,1.0,2.0,,1.0,,,,4.0,1.0,2.0
Fistula,,,,,2,,,,,,1.0,,,,,,1,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,2.0,,1.0,,,,,,,,,,
Flox and Small pox,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsevill,,,,,1,2.0,1.0,,1.0,,3.0,2.0,2.0,1.0,4,1.0,2,1.0,2.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spleen,,,,,1,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,2.0,1.0,,,1.0,,
Starved her self at St. Leonards Fosterlane,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
